"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Number","Percent"
"2021","UHF 34","202","3","Downtown - Heights - Slope","19,000","9.9 (5.9, 16.0)"
"2021","UHF 34","203","3","Bedford Stuyvesant - Crown Heights","29,000","11.2 (7.5, 16.4)"
"2021","UHF 34","204","3","East New York","20,000","14.7 (8.9, 23.5)"
"2021","UHF 34","205","3","Sunset Park","7,000*","8.3* (3.2, 19.6)"
"2021","UHF 34","206","3","Borough Park","17,000","7.6 (4.3, 13.0)"
"2021","UHF 34","207","3","East Flatbush - Flatbush","21,000","9.3 (5.1, 16.3)"
"2021","UHF 34","208","3","Canarsie - Flatlands","13,000*","8.1* (4.2, 15.0)"
"2021","UHF 34","209","3","Bensonhurst - Bay Ridge","24,000","15.0 (8.6, 25.0)"
"2021","UHF 34","210","3","Coney Island - Sheepshead Bay","28,000","12.7 (8.3, 18.8)"
"2021","UHF 34","211","3","Williamsburg - Bushwick","25,000","15.1 (9.6, 22.8)"
"2021","UHF 34","301","3","Washington Heights","11,000*","5.2* (2.7, 9.7)"
"2021","UHF 34","302","3","Central Harlem - Morningside Heights","10,000*","6.9* (3.3, 14.0)"
"2021","UHF 34","303","3","East Harlem","8,000*","9.3* (4.8, 17.3)"
"2021","UHF 34","304","3","Upper West Side","**","**"
"2021","UHF 34","401","3","Long Island City - Astoria","9,000*","5.1* (2.4, 10.7)"
"2021","UHF 34","402","3","West Queens","22,000*","6.2* (3.3, 11.5)"
"2021","UHF 34","403","3","Flushing - Clearview","20,000*","9.5* (5.0, 17.4)"
"2021","UHF 34","405","3","Ridgewood - Forest Hills","13,000*","6.6* (3.6, 11.8)"
"2021","UHF 34","407","3","Southwest Queens","23,000*","10.6* (5.6, 19.2)"
"2021","UHF 34","408","3","Jamaica","16,000*","6.8* (2.8, 15.7)"
"2021","UHF 34","409","3","Southeast Queens","3,000*","1.7* (0.5, 5.8)"
"2021","UHF 34","410","3","Rockaways","7,000*","7.8* (4.0, 14.8)"
"2021","UHF 34","305307","3","Upper East Side-Gramercy","19,000*","6.5* (3.2, 12.7)"
"2021","UHF 34","306308","3","Chelsea-Village","12,000*","5.8* (3.0, 11.0)"
"2021","UHF 34","309310","3","Union Square-Lower Manhattan","15,000","7.6 (4.5, 12.7)"
"2021","UHF 34","404406","3","Bayside Little Neck-Fresh Meadows","13,000*","9.1* (4.9, 16.4)"
"2021","UHF 34","501502","3","Northern SI","19,000","13.2 (7.9, 21.2)"
"2021","UHF 34","503504","3","Southern SI","32,000","14.4 (9.5, 21.2)"
"2021","UHF 34","105106107","3","South Bronx","60,000","15.3 (10.9, 21.1)"
"2020","UHF 34","101","3","Kingsbridge - Riverdale","**","**"
"2020","UHF 34","102","3","Northeast Bronx","18,000","12.7 (7.1, 21.9)"
"2020","UHF 34","103","3","Fordham - Bronx Pk","29,000","15.8 (10.3, 23.4)"
"2020","UHF 34","104","3","Pelham - Throgs Neck","31,000","13.7 (9.2, 19.9)"
"2020","UHF 34","201","3","Greenpoint","13,000*","12.9* (6.8, 23.2)"
"2020","UHF 34","202","3","Downtown - Heights - Slope","20,000","11.1 (6.5, 18.4)"
"2020","UHF 34","203","3","Bedford Stuyvesant - Crown Heights","27,000","11.1 (7.6, 15.8)"
"2020","UHF 34","204","3","East New York","14,000","10.6 (6.3, 17.2)"
"2020","UHF 34","205","3","Sunset Park","9,000","8.7 (4.9, 15.1)"
"2020","UHF 34","206","3","Borough Park","28,000","11.9 (7.8, 17.7)"
"2020","UHF 34","207","3","East Flatbush - Flatbush","17,000","7.6 (4.7, 12.1)"
"2020","UHF 34","208","3","Canarsie - Flatlands","14,000*","9.4* (4.6, 18.3)"
"2020","UHF 34","209","3","Bensonhurst - Bay Ridge","18,000","11.0 (6.4, 18.2)"
"2020","UHF 34","210","3","Coney Island - Sheepshead Bay","34,000","14.9 (10.2, 21.3)"
"2020","UHF 34","211","3","Williamsburg - Bushwick","20,000","13.2 (8.2, 20.7)"
"2020","UHF 34","301","3","Washington Heights","23,000","11.7 (6.9, 19.0)"
"2020","UHF 34","302","3","Central Harlem - Morningside Heights","10,000","8.4 (4.9, 14.0)"
"2020","UHF 34","303","3","East Harlem","8,000*","10.3* (5.0, 20.1)"
"2020","UHF 34","304","3","Upper West Side","**","**"
"2020","UHF 34","401","3","Long Island City - Astoria","24,000","14.3 (8.2, 23.8)"
"2020","UHF 34","402","3","West Queens","33,000","8.9 (5.6, 13.9)"
"2020","UHF 34","403","3","Flushing - Clearview","14,000","6.5 (3.6, 11.4)"
"2020","UHF 34","405","3","Ridgewood - Forest Hills","21,000","10.3 (6.1, 16.8)"
"2020","UHF 34","407","3","Southwest Queens","15,000*","7.5* (4.0, 13.8)"
"2020","UHF 34","408","3","Jamaica","22,000*","10.4* (4.8, 20.9)"
"2020","UHF 34","409","3","Southeast Queens","19,000*","12.3* (5.9, 23.9)"
"2020","UHF 34","410","3","Rockaways","8,000*","9.4* (3.6, 22.6)"
"2020","UHF 34","305307","3","Upper East Side-Gramercy","24,000","7.7 (4.5, 13.1)"
"2020","UHF 34","306308","3","Chelsea-Village","13,000","6.1 (3.4, 10.8)"
"2020","UHF 34","309310","3","Union Square-Lower Manhattan","18,000","8.5 (5.2, 13.7)"
"2020","UHF 34","404406","3","Bayside Little Neck-Fresh Meadows","9,000","6.2 (3.5, 10.9)"
"2020","UHF 34","501502","3","Northern SI","27,000","18.8 (11.1, 30.1)"
"2020","UHF 34","503504","3","Southern SI","43,000","19.6 (13.5, 27.7)"
"2020","UHF 34","105106107","3","South Bronx","55,000","14.4 (10.6, 19.3)"
"2019","UHF 34","101","3","Kingsbridge - Riverdale","6,000*","8.9* (4.3, 17.6)"
"2019","UHF 34","102","3","Northeast Bronx","13,000","8.7 (4.8, 15.3)"
"2019","UHF 34","103","3","Fordham - Bronx Pk","28,000","16.0 (9.5, 25.7)"
"2019","UHF 34","104","3","Pelham - Throgs Neck","42,000","18.2 (12.9, 24.9)"
"2019","UHF 34","201","3","Greenpoint","11,000*","10.6* (4.6, 22.6)"
"2019","UHF 34","202","3","Downtown - Heights - Slope","15,000","8.5 (5.6, 12.7)"
"2019","UHF 34","203","3","Bedford Stuyvesant - Crown Heights","37,000","15.1 (10.4, 21.6)"
"2019","UHF 34","204","3","East New York","13,000","9.8 (5.4, 17.3)"
"2019","UHF 34","205","3","Sunset Park","20,000*","20.0* (10.7, 34.3)"
"2019","UHF 34","206","3","Borough Park","13,000","5.5 (3.2, 9.2)"
"2019","UHF 34","207","3","East Flatbush - Flatbush","13,000","5.5 (3.3, 9.0)"
"2019","UHF 34","208","3","Canarsie - Flatlands","15,000*","10.0* (4.9, 19.4)"
"2019","UHF 34","209","3","Bensonhurst - Bay Ridge","16,000","9.9 (5.7, 16.4)"
"2019","UHF 34","210","3","Coney Island - Sheepshead Bay","34,000","14.6 (9.2, 22.3)"
"2019","UHF 34","211","3","Williamsburg - Bushwick","32,000","21.2 (13.5, 31.7)"
"2019","UHF 34","301","3","Washington Heights","19,000*","9.3* (4.7, 17.5)"
"2019","UHF 34","302","3","Central Harlem - Morningside Heights","18,000","14.4 (7.9, 24.9)"
"2019","UHF 34","303","3","East Harlem","21,000*","26.3* (15.7, 40.5)"
"2019","UHF 34","304","3","Upper West Side","11,000*","5.8* (2.9, 11.2)"
"2019","UHF 34","401","3","Long Island City - Astoria","21,000","12.3 (7.5, 19.4)"
"2019","UHF 34","402","3","West Queens","28,000","7.6 (4.6, 12.5)"
"2019","UHF 34","403","3","Flushing - Clearview","26,000*","12.5* (6.4, 23.1)"
"2019","UHF 34","405","3","Ridgewood - Forest Hills","19,000","9.4 (5.2, 16.4)"
"2019","UHF 34","407","3","Southwest Queens","26,000","12.6 (8.1, 19.2)"
"2019","UHF 34","408","3","Jamaica","27,000","12.7 (7.4, 20.9)"
"2019","UHF 34","409","3","Southeast Queens","14,000*","8.9* (4.2, 17.9)"
"2019","UHF 34","410","3","Rockaways","13,000*","17.0* (8.1, 32.2)"
"2019","UHF 34","305307","3","Upper East Side-Gramercy","26,000","8.3 (5.1, 13.2)"
"2019","UHF 34","306308","3","Chelsea-Village","16,000*","7.8* (3.8, 15.1)"
"2019","UHF 34","309310","3","Union Square-Lower Manhattan","17,000*","8.0* (4.4, 14.3)"
"2019","UHF 34","404406","3","Bayside Little Neck-Fresh Meadows","13,000*","9.0* (4.6, 16.9)"
"2019","UHF 34","501502","3","Northern SI","28,000","19.8 (12.2, 30.5)"
"2019","UHF 34","503504","3","Southern SI","32,000","15.1 (9.7, 22.6)"
"2019","UHF 34","105106107","3","South Bronx","79,000","20.3 (15.2, 26.5)"
